text,labels
"Broken leg. A broken leg (leg fracture) will be severely painful and may be swollen or bruised. You usually will not be able to walk on it.If it's a severe fracture, the leg may be an odd shape and the bone may even be poking out of the skin. There may have been a ""crack"" sound when the leg was broken, and the shock and pain of breaking your leg may cause you to feel faint, dizzy or sick.",49.33333333
"Bulimia. Bulimia is an eating disorder and mental health condition.People who have bulimia go through periods where they eat a lot of food in a very short amount of time (binge eating) and then make themselves sick, use laxatives (medication to help them poo) or do excessive exercise, or a combination of these, to try to stop themselves gaining weight.Men and women of any age can get bulimia, but it's most common in young women and typically starts in the mid to late teens.",34.18181818
Hyperacusis. Hyperacusis is when everyday sounds seem much louder than they should. Treatment can help. See a GP if you think you have hyperacusis.,53.81818182
"DVT. DVT (deep vein thrombosis) is a blood clot in a vein, usually the leg. DVT can be dangerous. Get medical help as soon as possible if you think you have DVT.Urgent advice: Ask for an urgent GP appointment or call 111 if:   You think you have DVT.Symptoms of DVT in the leg are:throbbing or cramping pain in 1 leg (rarely both legs), usually in the calf or thigh swelling in 1 leg (rarely both legs)warm skin around the painful areared or darkened skin around the painful areaswollen veins that are hard or sore when you touch them. These symptoms also happen in your arm or tummy if that's where the blood clot is.Immediate action required: Call 999 or go to A&E if you have symptoms of DVT, such as pain and swelling and breathlessness chest pain. DVT can be very serious because blood clots in your veins can break loose, travel through your bloodstream and get stuck in your lungs. This is called a pulmonary embolism.A pulmonary embolism can be life threatening and needs treatment straight away.",12.8
"Ectopic pregnancy. An ectopic pregnancy is when a fertilised egg implants itself outside of the womb, usually in one of the fallopian tubes.The fallopian tubes are the tubes connecting the ovaries to the womb. If an egg gets stuck in them, it won't develop into a baby and your health may be at risk if the pregnancy continues.Unfortunately, it's not possible to save the pregnancy. It usually has to be removed using medicine or an operation.In the UK, around 1 in every 90 pregnancies is ectopic. This is around 11,000 pregnancies a year.",31.7
"Tooth decay. Tooth decay is damage to a tooth caused by dental plaque turning sugars into acid. If plaque is allowed to build up, it can lead to problems, such as holes in the teeth (dental caries) and gum disease. Dental abscesses, which are collections of pus at the end of the teeth or in the gums, may develop.",52.7
"Head and neck cancer. Head and neck cancer is a relatively uncommon type of cancer. Around 12,000 new cases are diagnosed in the UK each year.There are more than 30 areas within the head and neck where cancer can develop, including the:mouth and lipsvoice box (larynx)throat (pharynx)salivary glandsnose and sinusesarea at the back of the nose and mouth (nasopharynx)Oesophageal (gullet) cancer, thyroid cancer, brain tumours and eye cancer don't tend to be classified as a head and neck cancer.",12.0
"Eye injuries. Minor eye injuries, such as shampoo or dust in your eye, often get better on their own within a day. Get medical help if you have a chemical in your eye or something pierces it.",58.81818182
"Hyperglycaemia. Hyperglycaemia is the medical term for a high blood sugar (glucose) level. It's a common problem for people with diabetes.It can affect people with type 1 diabetes and type 2 diabetes, as well as pregnant women with gestational diabetes.It can occasionally affect people who do not have diabetes, but usually only people who are seriously ill, such as those who have recently had a stroke or heart attack, or have a severe infection.Hyperglycaemia should not be confused with hypoglycaemia, which is when a person's blood sugar level drops too low.This information focuses on hyperglycaemia in people with diabetes.",35.3
Endometrial cancer. Cancer of the womb (uterine or endometrial cancer) is a common cancer that affects the female reproductive system. It's more common in women who have been through the menopause.,29.77777778
"Pulmonary hypertension. Pulmonary hypertension is high blood pressure in the blood vessels that supply the lungs (pulmonary arteries).It's a serious condition that can damage the right side of the heart.The walls of the pulmonary arteries become thick and stiff, and cannot expand as well to allow blood through.The reduced blood flow makes it harder for the right side of the heart to pump blood through the arteries.If the right side of your heart has to continually work harder, it can gradually become weaker. This can lead to heart failure.Pulmonary hypertension is a rare condition that can affect people of all ages, but it's more common in people who have another heart or lung condition.",34.0
