construct_1,construct_2,correlation
Anxiety,Anxiety,1
Friendliness,Anxiety,-0.31902916817763316
Imagination,Anxiety,0.061749467615082
Trust,Anxiety,-0.30365968943613253
Self-Efficacy,Anxiety,-0.453876557803782
Anger,Anxiety,0.6233465666890479
Gregariousness,Anxiety,-0.2404274711198116
Aesthetic Appreciation/Artistic Interests,Anxiety,0.00215442667410357
Morality,Anxiety,-0.02323403733378025
Orderliness,Anxiety,0.06561822105930795
Depression,Anxiety,0.6597488182425104
Assertiveness,Anxiety,-0.2781973847466097
Emotionality,Anxiety,0.3876356556694758
Altruism,Anxiety,-0.09543539250580867
Dutifulness,Anxiety,-0.13530270081763615
Self-consciousness,Anxiety,0.5964274744516012
Activity-Level,Anxiety,-0.08169376835675746
Adventurousness,Anxiety,-0.39147340816366855
Cooperation,Anxiety,-0.13643301119290743
Achievement-Striving,Anxiety,-0.18220829240539624
Immoderation,Anxiety,0.3515923979934669
Excitement-Seeking,Anxiety,-0.21033613861296505
Intellect,Anxiety,-0.18906818819595503
Modesty/Humility,Anxiety,0.22276454148684063
Self-Discipline,Anxiety,-0.25985595349335594
Vulnerability,Anxiety,0.7924199643356569
Cheerfulness,Anxiety,-0.34085332672586366
Liberalism,Anxiety,0.05248240854054954
Sympathy,Anxiety,0.1353799848100307
Cautiousness,Anxiety,-0.110386100587052
Anxiety,Friendliness,-0.31902916817763316
Friendliness,Friendliness,1
Imagination,Friendliness,-0.019868372184769893
Trust,Friendliness,0.5117200838850933
Self-Efficacy,Friendliness,0.3420988526540416
Anger,Friendliness,-0.2801051467105564
Gregariousness,Friendliness,0.751993255047638
Aesthetic Appreciation/Artistic Interests,Friendliness,0.20570692067962523
Morality,Friendliness,0.1230959988105213
Orderliness,Friendliness,0.05896303503871352
Depression,Friendliness,-0.4847609620534617
Assertiveness,Friendliness,0.5336699432955114
Emotionality,Friendliness,0.1719971724169598
Altruism,Friendliness,0.5754911670855166
Dutifulness,Friendliness,0.1977834017609007
Self-consciousness,Friendliness,-0.5805477652271828
