construct,item,text,key
Achievement-Striving,1,Go straight for the goal.,1
Achievement-Striving,2,Plunge into tasks with all my heart.,1
Achievement-Striving,3,Demand quality.,1
Achievement-Striving,4,Set high standards for myself and others.,1
Achievement-Striving,5,Turn plans into actions.,1
Achievement-Striving,6,Do more than what's expected of me.,1
Achievement-Striving,7,Work hard.,1
Achievement-Striving,8,Do just enough work to get by.,-1
Achievement-Striving,9,Am not highly motivated to succeed.,-1
Achievement-Striving,10,Put little time and effort into my work.,-1
Activity-Level,1,Am always on the go.,1
Activity-Level,2,Am always busy.,1
Activity-Level,3,React quickly.,1
Activity-Level,4,Can manage many things at the same time.,1
Activity-Level,5,Do a lot in my spare time.,1
Activity-Level,6,React slowly.,-1
Activity-Level,7,Like to take my time.,-1
Activity-Level,8,Like a leisurely lifestyle.,-1
Activity-Level,9,Like to take it easy.,-1
Activity-Level,10,Let things proceed at their own pace.,-1
Adventurousness,1,Like to visit new places.,1
Adventurousness,2,Interested in many things.,1
Adventurousness,3,Prefer variety to routine.,1
Adventurousness,4,Like to begin new things.,1
Adventurousness,5,Don't like the idea of change.,-1
Adventurousness,6,Prefer to stick with things that I know.,-1
Adventurousness,7,Dislike changes.,-1
Adventurousness,8,Am a creature of habit.,-1
Adventurousness,9,Am attached to conventional ways.,-1
Adventurousness,10,Dislike new foods.,-1
Aesthetic Appreciation/Artistic Interests,1,Love flowers.,1
Aesthetic Appreciation/Artistic Interests,2,Like music.,1
Aesthetic Appreciation/Artistic Interests,3,See beauty in things that others might not notice.,1
Aesthetic Appreciation/Artistic Interests,4,Believe in the importance of art.,1
Aesthetic Appreciation/Artistic Interests,5,Enjoy the beauty of nature.,1
Aesthetic Appreciation/Artistic Interests,6,Do not like poetry.,-1
Aesthetic Appreciation/Artistic Interests,7,Do not enjoy watching dance performances.,-1
Aesthetic Appreciation/Artistic Interests,8,Do not enjoy going to art museums.,-1
Aesthetic Appreciation/Artistic Interests,9,Do not like art.,-1
Aesthetic Appreciation/Artistic Interests,10,Do not like concerts.,-1
Altruism,1,Anticipate the needs of others.,1
Altruism,2,Love to help others.,1
Altruism,3,Have a good word for everyone.,1
Altruism,4,Make people feel welcome.,1
Altruism,5,Am concerned about others.,1
Altruism,6,Am indifferent to the feelings of others.,-1
Altruism,7,Turn my back on others.,-1
Altruism,8,Make people feel uncomfortable.,-1
Altruism,9,Look down on others.,-1
Altruism,10,Take no time for others.,-1
